date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2021-05-25,1.291822761917065,1.2069,108.95,0.8971,0.7080648587410606
2021-05-26,1.2914890869172155,1.2111,109.1,0.8973,0.7077641729775639
2021-05-27,1.2926577042399174,1.2075,109.81,0.8977,0.7056167090036692
2021-05-28,1.2976901116013497,1.2087,109.83,0.8995,0.70482097547223
2021-05-31,,,,,
2021-06-01,1.2878300064391501,1.2031,109.43,0.8954,0.7058159232072275
2021-06-02,1.2899896800825594,1.2047,109.59,0.898,0.7053678493334274
2021-06-03,1.3068478829064296,1.2116,110.28,0.9051,0.7092701610043266
2021-06-04,1.2916559028674761,1.2088,109.42,0.899,0.7054673721340388
2021-06-07,1.2878300064391501,1.2062,109.25,0.8969,0.7052683546089288
2021-06-08,1.291822761917065,1.2101,109.47,0.8963,0.7069136151562279
2021-06-09,1.2934937265554263,1.2102,109.61,0.8958,0.7080147267063155
2021-06-10,1.2899896800825594,1.2095,109.49,0.8951,0.7059654076950229
2021-06-11,1.2993762993762994,1.2162,109.75,0.8993,0.7085163667280714
2021-06-14,1.2956724540036277,1.2131,109.98,0.8991,0.7084159818645509
2021-06-15,1.302761855132882,1.2202,110.12,0.8985,0.710580544304697
2021-06-16,1.2966804979253113,1.2165,109.88,0.8986,0.7087172218284904
2021-06-17,1.3236267372600927,1.2353,110.28,0.9173,0.7185972980741593
2021-06-18,1.3335111348179758,1.2437,110.21,0.9215,0.7237461098646595
2021-06-21,1.3283740701381508,1.237,110.22,0.9184,0.7186489399928135
2021-06-22,1.3283740701381508,1.2364,110.75,0.92,0.7183391997701315
2021-06-23,1.3176966662274343,1.2286,110.86,0.9169,0.7154611146884167
2021-06-24,1.320480654958405,1.2337,110.91,0.9188,0.7190623427051125
2021-06-25,1.316655694535879,1.2293,110.78,0.9175,0.7194762213108857
2021-06-28,1.3203063110641668,1.2325,110.5,0.9184,0.7196833393306945
2021-06-29,1.3303179459890913,1.2378,110.53,0.9201,0.7222824124232574
2021-06-30,1.3340448239060831,1.2404,111.05,0.9253,0.7243227582210633
2021-07-01,1.3383297644539616,1.2405,111.56,0.9253,0.725689404934688
2021-07-02,1.3335111348179758,1.2346,111.28,0.9224,0.7249003262051468
2021-07-05,,,,,
2021-07-06,1.3340448239060831,1.2466,110.66,0.9245,0.7250580046403713
2021-07-07,1.336005344021376,1.2506,110.62,0.9252,0.7250580046403713
2021-07-08,1.3446282102998521,1.2533,109.82,0.9153,0.7263746640517179
2021-07-09,1.3368983957219251,1.2476,110.18,0.9151,0.7224389539083947
2021-07-12,1.335113484646195,1.2455,110.36,0.9154,0.7201497911565605
2021-07-13,1.3385089010841922,1.2511,110.36,0.9164,0.7221780891167762
2021-07-14,1.3388673182487616,1.2521,110.03,0.9154,0.7218131947452
2021-07-15,1.3448090371167294,1.2575,110.05,0.9186,0.7220737959419452
2021-07-16,1.3497098123903362,1.2586,110.13,0.9192,0.7254261878853826
2021-07-19,1.3618412093149939,1.2752,109.45,0.9179,0.7304601899196493
2021-07-20,1.36518771331058,1.2724,109.92,0.9218,0.7344840249724569
2021-07-21,1.3592496941688188,1.2538,110.22,0.9179,0.7301935012778387
2021-07-22,1.357773251866938,1.2578,110.1,0.9195,0.7272727272727273
2021-07-23,1.3579576317218902,1.258,110.52,0.9211,0.7273256236817223
2021-07-26,1.3539128080151637,1.254,110.31,0.9157,0.7231180851833104
2021-07-27,1.3572204125950054,1.2579,109.64,0.9135,0.7202535292422932
2021-07-28,1.3607293509320997,1.2563,110.06,0.9134,0.7202535292422932
2021-07-29,1.3513513513513513,1.2439,109.53,0.9062,0.7160246312473149
2021-07-30,1.3603591348115902,1.2466,109.7,0.9061,0.718752246100769
2021-08-02,1.3579576317218902,1.2501,109.22,0.9051,0.7201497911565605
2021-08-03,1.3540961408259986,1.255,109.09,0.9047,0.719165767709457
2021-08-04,1.3553808620222283,1.2551,109.44,0.9061,0.718803910293272
2021-08-05,1.3497098123903362,1.2487,109.75,0.907,0.7179266278986287
2021-08-06,1.3592496941688188,1.2563,110.22,0.9142,0.7208246233691343
2021-08-09,1.3623978201634879,1.2571,110.25,0.9191,0.721917412647993
2021-08-10,1.361285053090117,1.2531,110.54,0.9226,0.7225433526011561
2021-08-11,1.3561160835367507,1.2513,110.47,0.9215,0.7211885186787826
2021-08-12,1.3614703880190606,1.2518,110.36,0.923,0.722908985758693
2021-08-13,1.35556459265284,1.2512,109.75,0.9162,0.7216569242981887
2021-08-16,1.362583458236817,1.257,109.26,0.9123,0.7220737959419452
2021-08-17,1.3785497656465397,1.2622,109.59,0.9144,0.7278550112817527
2021-08-18,1.3819789939192924,1.2638,109.92,0.9179,0.7273256236817223
2021-08-19,1.394700139470014,1.279,109.75,0.9173,0.731368390258173
2021-08-20,1.401934669844385,1.2853,109.77,0.9176,0.7339449541284403
2021-08-23,1.3873473917869035,1.2666,109.78,0.9137,0.7290223809870964
2021-08-24,1.3785497656465397,1.2615,109.68,0.913,0.7290755322251385
2021-08-25,1.3762730525736306,1.2624,110.03,0.9137,0.7287036362311448
2021-08-26,1.379690949227373,1.2654,110.09,0.9174,0.7292882147024504
2021-08-27,1.3681762210972774,1.2613,109.84,0.9122,0.7262691553489723
2021-08-30,1.3708019191226868,1.2606,109.91,0.9172,0.7268498328245385
